Subject,Course Number,Section,CRN,Course Title,Credit Hours,Campus,Schedule Type,Instructor,Attribute Type,Reserved Seats,Linked Sections,Unnamed: 12,Days,Start Time,End Time,Building,Room,Start Date,End Date,Total Enrolled,Open Enrolled,Total Waitlist,Open Waitlist
GEOG,8130,001,15582,Teaching and Learning in the Geosciences,3.0,Main Campus or Dubois Campus,Lecture,Casey Davenport (Primary),,,,,"Tuesday,Thursday",10:00  AM,11:15  AM,McEniry,203,08/17/2026,12/10/2026,5,2,,
GEOG,8210,001,15580,The Restructuring City,3.0,Main Campus or Dubois Campus,Lecture,Colleen Hammelman (Primary),,,,,Wednesday,02:30  PM,05:15  PM,McEniry,117,08/17/2026,12/10/2026,10,7,1.0,1.0
GEOG,8224,001,15807,Biogeochemical Cycles,3.0,Main Campus or Dubois Campus,Lecture,Craig Allan (Primary),,,,,Wednesday,05:30  PM,08:15  PM,McEniry,201,08/17/2026,12/10/2026,5,5,,
GEOG,8632,001,11603,Ph.D. Professional Development Seminar in Geography,1.0,Main Campus or Dubois Campus,Seminar,Colleen Hammelman (Primary),,,,,Wednesday,10:10  AM,11:00  AM,McEniry,118,08/17/2026,12/10/2026,15,7,2.0,2.0
GEOL,1200,001,10399,Physical Geology (no lab),3.0,Main Campus or Dubois Campus,Lecture,Amanda Stone (Primary),Student Data Mart - Gen Ed,,,,"Tuesday,Thursday",10:00  AM,11:15  AM,McEniry,125,08/17/2026,12/10/2026,180,153,10.0,10.0
GEOL,1200,003,10398,Physical Geology (no lab),3.0,Main Campus or Dubois Campus,Lecture,Christoffel Anthonissen (Primary),Student Data Mart - Gen Ed,,,,"Monday,Wednesday",02:30  PM,03:45  PM,McEniry,124,08/17/2026,12/10/2026,100,76,10.0,10.0
GEOL,1200L,L01,10473,Physical Geology Lab,1.0,Main Campus or Dubois Campus,Lab,Bill Garcia (Primary),Student Data Mart - Gen Ed,,,,Monday,08:00  AM,10:45  AM,McEniry,106,08/17/2026,12/10/2026,20,17,2.0,2.0
GEOL,1200L,L02,10474,Physical Geology Lab,1.0,Main Campus or Dubois Campus,Lab,Bill Garcia (Primary),Student Data Mart - Gen Ed,,,,Monday,11:15  AM,02:00  PM,McEniry,106,08/17/2026,12/10/2026,20,8,2.0,2.0
GEOL,1200L,L03,10475,Physical Geology Lab,1.0,Main Campus or Dubois Campus,Lab,Bill Garcia (Primary),Student Data Mart - Gen Ed,,,,Monday,02:30  PM,05:15  PM,McEniry,106,08/17/2026,12/10/2026,20,10,2.0,2.0
GEOL,1200L,L05,10476,Physical Geology Lab,1.0,Main Campus or Dubois Campus,Lab,Bill Garcia (Primary),Student Data Mart - Gen Ed,,,,Tuesday,02:30  PM,05:15  PM,McEniry,106,08/17/2026,12/10/2026,20,5,2.0,2.0
GEOL,1200L,L06,10477,Physical Geology Lab,1.0,Main Campus or Dubois Campus,Lab,Bill Garcia (Primary),Student Data Mart - Gen Ed,,,,Wednesday,08:00  AM,10:45  AM,McEniry,106,08/17/2026,12/10/2026,20,17,2.0,2.0
GEOL,1200L,L08,11512,Physical Geology Lab,1.0,Main Campus or Dubois Campus,Lab,Bill Garcia (Primary),Student Data Mart - Gen Ed,,,,Wednesday,11:15  AM,02:00  PM,McEniry,106,08/17/2026,12/10/2026,20,1,2.0,2.0
GEOL,1200L,L09,10479,Physical Geology Lab,1.0,Main Campus or Dubois Campus,Lab,Bill Garcia (Primary),Student Data Mart - Gen Ed,,,,Wednesday,02:30  PM,05:15  PM,McEniry,106,08/17/2026,12/10/2026,20,5,2.0,2.0
GEOL,1200L,L11,10482,Physical Geology Lab,1.0,Main Campus or Dubois Campus,Lab,Bill Garcia (Primary),Student Data Mart - Gen Ed,,,,Thursday,02:30  PM,05:15  PM,McEniry,106,08/17/2026,12/10/2026,20,12,2.0,2.0
GEOL,1200L,L90,17399,Physical Geology Lab,1.0,Main Campus or Dubois Campus,Lab,Bill Garcia (Primary),Student Data Mart - Gen Ed,,,,Tuesday,05:30  PM,08:15  PM,McEniry,106,08/17/2026,12/10/2026,20,18,,
GEOL,3105,001,15577,The Earth's Mineral Resources: Sustainability and the Environmental Impacts of Recovery,3.0,Main Campus or Dubois Campus,Lecture,Amanda Stone (Primary),,,,,"Monday,Wednesday,Friday",12:20  PM,01:10  PM,McEniry,401,08/17/2026,12/10/2026,40,0,2.0,2.0
GEOL,3115,001,11513,Mineralogy,4.0,Main Campus or Dubois Campus,Lecture,Valerie Reynolds (Primary),,,,,"Tuesday,Thursday",10:00  AM,11:15  AM,McEniry,303,08/17/2026,12/10/2026TuesdaySMTWTFS02:30  PM - 05:15  PM Type: Class Building: McEniry Room: 303 Start Date: 08/17/2026 End Date: 12/10/2026,18,7,4.0,4.0
GEOL,3130,001,10401,Structural Geology,4.0,Main Campus or Dubois Campus,Lecture,Andy Bobyarchick (Primary),,,,,"Tuesday,Thursday",01:00  PM,02:15  PM,McEniry,301,08/17/2026,12/10/2026TuesdaySMTWTFS02:30  PM - 05:15  PM Type: Class Building: McEniry Room: 301 Start Date: 08/17/2026 End Date: 12/10/2026,20,11,2.0,2.0
GEOL,3190,001,15578,Environmental Geology,3.0,Main Campus or Dubois Campus,Lecture,Amanda Stone (Primary),,,,,"Tuesday,Thursday",01:00  PM,02:15  PM,McEniry,401,08/17/2026,12/10/2026,40,18,2.0,2.0
GEOL,4135,001,13995,Tectonics,4.0,Main Campus or Dubois Campus,Lecture,Lin Li (Primary),,,,,"Monday,Wednesday",10:00  AM,11:15  AM,McEniry,401,08/17/2026,12/10/2026FridaySMTWTFS02:30  PM - 05:15  PM Type: Class Building: McEniry Room: 127 Start Date: 08/17/2026 End Date: 12/10/2026,16,7,,
GEOL,5135,001,13996,Tectonics,4.0,Main Campus or Dubois Campus,Lecture,Lin Li (Primary),,,,,"Monday,Wednesday",10:00  AM,11:15  AM,McEniry,401,08/17/2026,12/10/2026FridaySMTWTFS02:30  PM - 05:15  PM Type: Class Building: McEniry Room: 127 Start Date: 08/17/2026 End Date: 12/10/2026,4,4,,
GRAD,6100,001,14144,Basic Statistics & Probability,3.0,Main Campus or Dubois Campus,Lecture,Yang Cao (Primary),,,,,"Tuesday,Thursday",10:00  AM,11:15  AM,McEniry,405,08/17/2026,12/10/2026,15,8,,
GRAD,8101,010,16892,Linear Regression,3.0,Main Campus or Dubois Campus,Lecture,Samuel Grubbs (Primary),,,,,Monday,04:00  PM,06:45  PM,McEniry,405,08/17/2026,12/10/2026,15,11,,
