Subject,Course Number,Section,CRN,Course Title,Credit Hours,Campus,Schedule Type,Instructor,Attribute Type,Reserved Seats,Linked Sections,Unnamed: 12,Days,Start Time,End Time,Building,Room,Start Date,End Date,Total Enrolled,Open Enrolled,Total Waitlist,Open Waitlist
MATH,1241,1,10779,Calculus I,3,Main Campus or Dubois Campus,Lecture,Robert Bland (Primary),"Math - Logic Requirement
",,,,"Monday,Wednesday,Friday",8:00 AM,8:50 AM,McEniry,116,08/17/2026,12/10/2026,84,50,,
MATH,1241,2,10484,Calculus I,3,Main Campus or Dubois Campus,Lecture,Caylah Crosby (Primary),"Math - Logic Requirement

Student Data Mart - Gen Ed",,,,"Tuesday,Thursday",8:30 AM,9:45 AM,McEniry,116,08/17/2026,12/10/2026,84,47,,
MATH,1241,5,10485,Calculus I,3,Main Campus or Dubois Campus,Lecture,Caylah Crosby (Primary),"Math - Logic Requirement

",,,,"Monday,Wednesday,Friday",11:15 AM,12:05 PM,McEniry,116,08/17/2026,12/10/2026,59,7,,
MATH,1241,9,13731,Calculus I,3,Main Campus or Dubois Campus,Lecture,Ree Linker (Primary),"Math - Logic Requirement
",,,,"Monday,Wednesday,Friday",12:20 PM,1:10 PM,McEniry,117,08/17/2026,12/10/2026,59,26,,
MATH,1241,12,13734,Calculus I,3,Main Campus or Dubois Campus,Lecture,Scott Wilde (Primary),"Math - Logic Requirement
",,,,"Tuesday,Thursday",10:00 AM,11:15 AM,McEniry,116,08/17/2026,12/10/2026,59,51,,
ETME,2100,1,11645,Sophomore Design Practicum,2,Main Campus or Dubois Campus,Practicum,Christopher Green (Primary),,,,,"Monday,Wednesday",4:00 PM,5:15 PM,McEniry,127,08/17/2026,12/10/2026,48,17,5,5
INES,8090,G02,14191,Top Infrastruct & Environ Syst,3,Main Campus or Dubois Campus,Lecture,Craig Allan (Primary),,,,,Wednesday,5:30 PM,8:15 PM,McEniry,201,08/17/2026,12/10/2026,5,3,,
INES,8130,1,15808,Teaching and Learning in the Geosciences,3,Main Campus or Dubois Campus,Lecture,Casey Davenport (Primary),,,,,"Tuesday,Thursday",10:00 AM,11:15 AM,McEniry,203,08/17/2026,12/10/2026,5,2,,
MKTG,3224,1,17206,Product and Brand Management,3,Main Campus or Dubois Campus,Lecture,,,,,,"Tuesday,Thursday",10:00 AM,11:15 AM,McEniry,401,08/17/2026,12/10/2026,40,0,4,3
MKTG,3226,1,10947,Business-to-Business Marketing and Retailing,3,Main Campus or Dubois Campus,Lecture,Cindy Fox (Primary),,,,,"Tuesday,Thursday",1:00 PM,2:15 PM,McEniry,123,08/17/2026,12/10/2026,40,0,4,4
EXER,2333,1,12450,Baseball Through History and Playing I (1800s-1947),3,Main Campus or Dubois Campus,Lecture,Jeff Barto (Primary),,,,,"Tuesday,Thursday",10:00 AM,11:15 AM,McEniry,127,08/17/2026,12/10/2026,48,0,,
FILM,3050,3,14394,Topics in Film Theory/History: Chinese Film,3,Main Campus or Dubois Campus,Lecture,Amanda Zhou (Primary),,,,,"Monday,Wednesday",2:30 PM,3:45 PM,McEniry,123,08/17/2026,12/10/2026,24,0,1,1
FILM,3051,3,15043,Topics in Film Production: Camp Aesthetic and Sensibility in Film,3,Main Campus or Dubois Campus,Lecture,Justin Evans (Primary),,,,,Wednesday,2:30 PM,5:15 PM,McEniry,118,08/17/2026,12/10/2026,30,22,3,3
GEOG,1103,1,11100,Spatial Thinking,4,Main Campus or Dubois Campus,Lecture,Christoffel Anthonissen (Primary),Student Data Mart - Gen Ed,,,,"Tuesday,Thursday",8:30 AM,9:45 AM,McEniry,117,08/17/2026,12/10/2026ThursdaySMTWTFS02:30  PM - 05:15  PM Type: Class Building: McEniry Room: 431 Start Date: 08/17/2026 End Date: 12/10/2026,20,7,,
GEOG,1103,2,11101,Spatial Thinking,4,Main Campus or Dubois Campus,Lecture,Christoffel Anthonissen (Primary),Student Data Mart - Gen Ed,,,,"Tuesday,Thursday",8:30 AM,9:45 AM,McEniry,117,08/17/2026,12/10/2026ThursdaySMTWTFS05:30  PM - 08:15  PM Type: Class Building: McEniry Room: 431 Start Date: 08/17/2026 End Date: 12/10/2026,20,10,,
GEOG,1103,3,12007,Spatial Thinking,4,Main Campus or Dubois Campus,Lecture,Christoffel Anthonissen (Primary),Student Data Mart - Gen Ed,,,,Friday,8:00 AM,11:00 AM,McEniry,431,08/17/2026,"12/10/2026Tuesday,ThursdaySMTWTFS08:30  AM - 09:45  AM Type: Class Building: McEniry Room: 117 Start Date: 08/17/2026 End Date: 12/10/2026",20,10,,
GEOG,1501,1,12996,Global Social Science: World Geography,3,Main Campus or Dubois Campus,Lecture,Michael Ewers (Primary),Student Data Mart - Gen Ed,,,,"Tuesday,Thursday",2:30 PM,3:45 PM,McEniry,116,08/17/2026,12/10/2026,80,1,2,2
GEOG,1511,1,12998,Local Social Science: Urban and Regional Planning,3,Main Campus or Dubois Campus,Lecture,Michelle Zuniga (Primary),Student Data Mart - Gen Ed,,,,"Tuesday,Thursday",10:00 AM,11:15 AM,McEniry,117,08/17/2026,12/10/2026,80,40,2,2
GEOG,2105,1,11511,Intro to Economic Geography,3,Main Campus or Dubois Campus,Lecture,Bill Graves (Primary),,,,,"Tuesday,Thursday",2:30 PM,3:45 PM,McEniry,118,08/17/2026,12/10/2026,30,16,5,5
